"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-03,"mobile","Display",24418,8,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-03,"tablet","Display",6137,13,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-03,"desktop","Organic Search",6881,55,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-03,"mobile","Organic Search",5500,72,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-03,"tablet","Organic Search",1222,8,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-03,"desktop","Paid Search",1195,17,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-03,"mobile","Paid Search",3189,0,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-03,"tablet","Paid Search",1089,13,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-03,"desktop","Referral",2763,25,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-03,"mobile","Referral",1302,13,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-03,"tablet","Referral",266,0,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-03,"desktop","Social",452,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-03,"mobile","Social",5287,13,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-03,"tablet","Social",718,8,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-04,"desktop","(Other)",106,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-04,"mobile","(Other)",133,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-04,"tablet","(Other)",53,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-04,"desktop","Direct",2338,42,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-04,"mobile","Direct",5075,67,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-04,"tablet","Direct",479,4,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-04,"desktop","Display",31989,89,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-04,"mobile","Display",29146,59,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-04,"tablet","Display",9380,38,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-04,"desktop","Organic Search",7758,76,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-04,"mobile","Organic Search",6324,59,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-04,"tablet","Organic Search",1036,21,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-04,"desktop","Paid Search",1807,25,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-04,"mobile","Paid Search",2551,21,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-04,"tablet","Paid Search",531,0,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-04,"desktop","Referral",3082,8,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
